0,1,2,3,4,5
9108.12.00,,,"錶運轉體，完整及已裝配，電動，僅有光電顯時裝置者
Watch movements, complete and assembled,
electrically operated, with opto-electronic
display only",,
9108.12.00,00,9,"錶運轉體，完整及已裝配，電動，僅有光電顯時裝置者
Watch movements, complete and assembled,
electrically operated, with opto-electronic
display only",,
9108.19,,,"其他
Other",,
9108.19.00,,,"其他錶運轉體，完整及已裝配，電動者
Other watch movements, complete and assembled,
electrically operated",,
9108.19.00,00,2,"其他錶運轉體，完整及已裝配，電動者
Other watch movements, complete and assembled,
electrically operated",,
9108.20,,,"自動上發條者
With automatic winding",,
9108.20.00,,,"錶運轉體，完整及已裝配，自動上發條者
Watch movements, complete and assembled, with
automatic winding",,
9108.20.00,00,9,"錶運轉體，完整及已裝配，自動上發條者
Watch movements, complete and assembled, with
automatic winding",,
9108.90,,,"其他
Other",,
9108.90.00,,,"其他錶運轉體，完整及已裝配，其他方法驅動者
Other watch movements, complete and assembled,
other methods driven",,
9108.90.00,00,4,"其他錶運轉體，完整及已裝配，其他方法驅動者
Other watch movements, complete and assembled,
other methods driven",,
9109,,,"鐘運轉體，完整及已裝配者
Clock movements, complete and assembled",,
9109.10,,,"電動者
Electrically operated",,
9109.10.00,,,"鐘運轉體，完整及已裝配，電動者
Clock movements, complete and assembled,
electrically operated",,
9109.10.00,00,0,"鐘運轉體，完整及已裝配，電動者
Clock movements, complete and assembled,
electrically operated",,
